Omega_m    	   S8       	   h       	   |f_R0|       sigma8		    	   A_s	             	      B0
0.31315		0.83954	 	0.67370 	0.00000e+00 	0.82172         2.16034e-09/2.0969200e-9 	-0.00000e+00
0.54725 	0.66642  	0.78699 	3.55017e-06 	0.49342         5.49089e-10/2.7977310e-10 	-6.02172e-06
0.53961 	0.85542  	0.68393 	3.07764e-06 	0.63783         1.25748e-09/6.3000749e-10 	-5.16994e-06
0.10721 	0.73513  	0.61090 	3.31067e-06 	1.22974         6.07046e-09/6.0455634e-8  	-3.60014e-06
0.31592 	0.61685  	0.68845 	8.07056e-07 	0.60111 	1.10024e-09/1.0554600e-9  	-1.05766e-06
0.15741 	0.66044  	0.71067 	1.20926e-05 	0.91175         2.35508e-09/8.3515000e-9  	-1.37114e-05
0.35339 	0.78021  	0.78052 	5.20374e-06 	0.71886 	1.18695e-09/9.8119635e-10 	-7.08033e-06
0.11240 	0.75539  	0.79318 	3.11854e-05 	1.23413 	3.37619e-09/2.9843197e-8  	-3.40562e-05
0.39303 	0.82585  	0.75200 	7.13719e-07 	0.72152 	1.29887e-09/9.3434406e-10 	-1.01204e-06
0.18096 	0.80599  	0.76132 	9.15854e-07 	1.03776 	2.61420e-09/6.7784175e-9  	-1.05967e-06
0.42927 	0.60228  	0.77667 	4.54785e-06 	0.50350 	5.88698e-10/3.8298721e-10 	-6.70724e-06
0.40249 	0.64312  	0.69120 	1.34015e-06 	0.55523 	9.30216e-10/6.4387578e-10 	-1.91961e-06
0.21286 	0.89867  	0.70661 	7.11541e-06 	1.06687 	3.26672e-09/6.0971800e-9  	-8.46716e-06
0.34671 	0.84059  	0.70056 	1.25729e-05 	0.78191 	1.78924e-09/1.50567304e-9 	-1.69911e-05
0.15464 	0.67050  	0.77273 	4.09613e-06 	0.93390 	2.04833e-09/7.5841000e-9  	-4.63352e-06
0.28172 	0.69158  	0.64968 	4.97440e-06 	0.71367	        1.77157e-09/2.0203347e-9  	-6.30699e-06
0.37032 	0.68066  	0.76204 	2.77530e-06 	0.61264         9.09164e-10/7.0570537e-10 	-3.84251e-06
0.41627 	0.87454  	0.63427 	1.43750e-05 	0.74242 	2.02683e-09/1.3318438e-9  	-2.09000e-05
0.32331 	0.89266  	0.81749 	3.67512e-06 	0.85987 	1.53385e-09/1.4358185e-9  	-4.85153e-06
0.47784 	0.71183  	0.66724 	6.74045e-06 	0.56403 	1.04055e-09/5.8766237e-10 	-1.05053e-05
0.20509 	0.62541  	0.64437 	5.81093e-06 	0.75641 	2.02825e-09/4.0655717e-9  	-6.86721e-06
0.44103 	0.60912  	0.62046 	6.22815e-06 	0.50237 	9.76919e-10/5.9701082e-10 	-9.30643e-06
0.46403 	0.72906  	0.80296 	1.41213e-06 	0.58620 	7.41458e-10/4.4515427e-10 	-2.16593e-06
0.13644 	0.84862  	0.62473 	1.04809e-06 	1.25837 	6.03201e-09/3.0350300e-8  	-1.16756e-06
0.18832 	0.67659  	0.80174 	1.66798e-05 	0.85396 	1.57877e-09/3.7616321e-9  	-1.94232e-05
0.12066 	0.83454  	0.69563 	2.45592e-06 	1.31591 	5.14946e-09/3.6459500e-8  	-2.70029e-06
0.28854 	0.64070  	0.73943 	8.70413e-06 	0.65331 	1.10580e-09/1.2203741e-9  	-1.11079e-05
0.45016 	0.88492  	0.71954 	2.17398e-05 	0.72241 	1.43758e-09/6.5588558e-10 	-3.28209e-05
0.17155 	0.86159  	0.62768 	1.57570e-06 	1.13936 	4.89109e-09/1.4224562e-8  	-1.80837e-06
0.51949 	0.78399  	0.74473 	9.69626e-06 	0.59577 	9.05046e-10/4.7863258e-10 	-1.58855e-05
0.43909 	0.74195  	0.67856 	1.77743e-06 	0.61327 	1.18370e-09/7.3678485e-10 	-2.65018e-06
0.49786 	0.75088  	0.80806 	1.83373e-06 	0.58288 	7.22961e-10/4.0461826e-10 	-2.92646e-06
0.40909 	0.63268  	0.73799 	1.21103e-06 	0.54179 	7.63843e-10/5.2234726e-10 	-1.74707e-06
0.23227 	0.76052  	0.60028 	1.90375e-05 	0.86433 	3.12498e-09/4.9424886e-9  	-2.30533e-05
0.38390 	0.69201  	0.65570 	2.25274e-06 	0.61174 	1.27421e-09/9.306936e-10  	-3.16363e-06
0.26234 	0.82914  	0.76998 	1.00886e-06 	0.88665 	1.86095e-09/2.3942935e-9  	-1.25598e-06
0.25453 	0.70200  	0.66918 	1.77895e-05 	0.76212 	1.88722e-09/2.5476068e-9  	-2.19868e-05
0.29762 	0.79031  	0.67300 	2.35845e-06 	0.79347 	2.01914e-09/2.116171e-9   	-3.03615e-06
0.22423 	0.76866  	0.64603 	1.38808e-05 	0.88911 	2.78561e-09/4.7087700e-9  	-1.66871e-05
0.30799 	0.71985  	0.66001 	1.17319e-06 	0.71046 	1.69287e-09/1.6825555e-9  	-1.52559e-06
0.51288 	0.80849  	0.79098 	7.82990e-06 	0.61834 	8.52745e-10/4.6191619e-10 	-1.27245e-05
0.14061 	0.80186  	0.73101 	1.07429e-05 	1.17125 	3.64682e-09/1.7079600e-8  	-1.20093e-05
0.33782 	0.70781  	0.72256 	7.98063e-07 	0.66702 	1.21409e-09/1.0613640e-9  	-1.06888e-06
0.52520 	0.87924  	0.81347 	2.32795e-05 	0.66452 	9.25980e-10/4.931797e-10  	-3.84087e-05
0.19435 	0.81870  	0.63911 	2.73472e-05 	1.01717 	3.73798e-09/8.3436683e-9  	-3.20136e-05
0.26963 	0.86618  	0.75511 	9.48855e-06 	0.91366 	2.06368e-09/2.5376779e-9  	-1.18937e-05
0.49135 	0.65176  	0.60766 	2.58653e-05 	0.50927 	1.05415e-09/5.6791999e-10 	-4.09594e-05
0.47207 	0.72827  	0.61562 	2.08160e-06 	0.58056 	1.32880e-09/7.5001892e-10 	-3.22257e-06
0.24424 	0.77304  	0.71436 	6.68528e-07 	0.85676 	2.05531e-09/2.9830713e-9  	-8.18448e-07
0.36187 	0.61856  	0.72861 	2.02582e-05 	0.56321 	8.49488e-10/6.7696524e-10 	-2.78044e-05

Omega_b = 0.049199
n_s = 0.9652
